imdbID,budget,revnue
tt0104342,0,0
tt0104349,0,0
tt0104350,0,0
tt0104351,0,0
tt0104352,0,0
tt0104356,0,0
tt0104357,0,0
tt0104360,0,0
tt0104362,0,0
tt0104373,0,0
tt0104382,0,0
tt0104392,0,0
tt0104400,0,0
tt0104403,0,0
tt0104404,NF,NF
tt0104405,0,0
tt0104411,0,0
tt0104413,NF,NF
tt0104414,0,0
tt0104435,0,0
tt0104441,0,0
tt0104448,0,0
tt0104450,0,0
tt0104451,0,0
tt0104455,0,0
tt0104467,0,0
tt0104470,0,0
tt0104473,0,0
tt0104475,0,0
tt0104489,NF,NF
tt0104491,0,0
tt0104493,NF,NF
tt0104495,0,0
tt0104496,NF,NF
tt0104497,0,0
tt0104498,0,0
tt0104501,0,0
tt0104502,NF,NF
tt0104505,0,0
tt0104508,NF,NF
tt0104509,0,0
tt0104515,0,0
tt0104523,0,0
tt0104537,0,0
tt0104539,0,0
tt0104540,0,0
tt0104541,0,0
tt0104545,0,0
tt0104551,0,0
tt0104553,0,0
tt0104559,0,0
tt0104563,NF,NF
tt0104568,466000,0
tt0104569,NF,NF
tt0104581,0,0
tt0104587,0,0
tt0104588,0,0
tt0104592,0,0
tt0104597,0,0
tt0104602,0,0
tt0104604,0,0
tt0104607,0,0
tt0104612,0,0
tt0104615,0,0
tt0104616,0,0
tt0104621,0,0
tt0104622,0,0
tt0104633,NF,NF
tt0104641,0,0
tt0104642,0,0
tt0104643,0,0
tt0104645,0,0
tt0104655,0,0
tt0104658,0,0
tt0104663,0,0
tt0104665,NF,NF
tt0104673,0,0
tt0104675,NF,NF
tt0104682,NF,NF
tt0104706,0,0
tt0104710,1000000,0
tt0104732,0,0
tt0104744,0,0
tt0104745,0,692585
tt0104751,0,0
tt0104755,0,0
tt0104761,0,0
tt0104764,0,0
tt0104776,0,0
tt0104782,0,0
tt0104788,0,0
tt0104791,NF,NF
tt0104796,NF,NF
tt0104798,0,0
tt0104805,0,0
tt0104809,0,0
tt0104816,NF,NF
tt0104820,0,0
tt0104830,0,0
tt0104843,0,0
tt0104853,0,0
tt0104856,NF,NF
tt0104860,0,0
tt0104865,0,0
tt0104871,0,0
tt0104873,0,0
tt0104874,0,0
tt0104880,0,0
tt0104882,NF,NF
tt0104886,0,0
tt0104894,0,0
tt0104918,0,0
tt0104920,NF,NF
tt0104930,0,0
tt0104937,0,0
tt0104939,0,0
tt0104943,NF,NF
tt0104948,0,0
tt0104961,0,0
tt0104962,0,0
tt0104969,0,0
tt0104972,0,0
tt0104974,0,0
tt0104977,0,0
tt0105002,0,0
tt0105003,0,0
tt0105019,0,0
tt0105022,0,0
tt0105027,NF,NF
tt0105032,0,0
tt0105041,0,0
tt0105045,0,0
tt0105052,0,0
tt0105060,0,0
tt0105073,0,0
tt0105075,0,0
tt0105081,NF,NF
tt0105082,0,0
tt0105089,0,0
tt0105092,NF,NF
tt0105097,0,0
tt0105114,500000,0
tt0105119,0,0
tt0105120,0,0
tt0105124,0,0
tt0105125,0,0
tt0105126,0,0
tt0105131,0,0
tt0105137,0,0
tt0105160,0,0
tt0105164,0,0
tt0105171,0,0
tt0105182,0,0
tt0105185,0,0
tt0105188,0,0
tt0105198,0,0
tt0105200,0,0
tt0105206,0,0
tt0105216,NF,NF
tt0105220,0,0
tt0105221,NF,NF
tt0105222,0,0
tt0105231,0,0
tt0105235,0,0
tt0105237,0,0
tt0105243,0,0
tt0105249,0,0
tt0105251,0,0
tt0105252,0,0
tt0105260,0,0
tt0105271,0,0
tt0105276,0,0
tt0105278,NF,NF
tt0105290,NF,NF
tt0105308,NF,NF
tt0105309,0,0
tt0105310,0,0
tt0105312,0,0
tt0105328,0,0
tt0105342,0,0
tt0105343,0,0
tt0105344,0,0
tt0105352,0,0
tt0105356,0,0
tt0105364,0,0
tt0105369,0,0
tt0105376,0,0
tt0105380,0,0
tt0105381,0,0
tt0105383,0,0
tt0105384,0,0
tt0105385,0,0
tt0105386,0,0
tt0105388,0,0
tt0105389,0,0
tt0105392,0,0
tt0105400,0,0
tt0105403,NF,NF
tt0105413,0,0
tt0105423,0,0
tt0105424,0,0
tt0105436,0,0
tt0105438,0,0
